"bandeau","vignette","NAME","CITY","KEYWORDS","DESCRIPTION","LOCATION","TRANSPORT","CONTACT","SINCE","TIME FROM CHATELET"
"acheres-centre-culturel-dacheres-5.jpg","acheres-centre-culturel-dacheres-3.jpg","CENTRE CULTUREL D'ACHERES","Achères","Education","L'Espace Jean Cocteau propose de nombreuses activités pour tous les âges ainsi que des stages.Le CCA vous propose des activités culturelles et créatives pour enfants et adultes.","Place Georges Brassens\n78260 ACHERES\nFrance","RER A / Achères-Ville, Ligne 5 et ligne 24, descendre à la gare Achères Ville","01 39 11 65 77, ccca@orange.fr,","1969","41mins"
"acheres-le-sax-3.jpg","acheres-le-sax-1.jpg","LE SAX","Achères","Musique","espace musique","2 rue des Champs, 78260 Achères","RER A direction Cergy-le-Haut, descendre à Achères Ville, 15 min à pied ou bus direction centre ville (place du marché). Noctilien (N150, N151, N152)","01 39 11 86 21 resa.lesax@wanadoo.fr","1991","41mins"
"alfortville-la-muse-en-circuit-1.jpg","alfortville-la-muse-en-circuit-1.jpg","LA MUSE EN CIRCUIT","Alfortville","Musique, Innovation","Centre National de Création Musicale :   Enable artists to develop a project or a specific creative music work by providing the facilities and the technical skills of La Muse en Circuit.","18 rue Marcelin Berthelot Alfortville 94140","M° 7 -  Ecole Vétérinaire de Maisons-Alfort","01 43 78 80 80 info@alamuse.com http://www.alamuse.com/","1982","39mins"
"","","LE THÉÂTRE-STUDIO","Alfortville","Spectacle Vivant","Le Théâtre-Studio est engagé dans la représentation d’auteurs contemporains vivants. Directeur Christian Benedetti +une coopération effective avec des réseaux et des pays européens","","M° Ecole Vétérinaire de Maisons-Alfort","","",""
"antony-ccchateau-sarran.jpg","antony-ccchateausarran.jpg","CENTRE CULTUREL CHATEAU SARRAN","Antony","Education","Le Château Sarran offre aux Antoniens un cadre privilégié, en prise directe avec la nature et propice à l’inspiration","12 Rue Prosper Legouté 92160 Antony","","http://www.ville-antony.fr/chateau-sarran 01 40 96 64 40 ou 64 41","2010","44mins"
"antony-maison-des-arts-dantony-2.jpg","antony-maison-des-arts-dantony.jpg","MAISON DES ARTS D'ANTONY","Antony","Arts Visuels, Education","La Maison des Arts développe une programmation in-situ et hors les murs dans le domaine des arts plastiques, un lieu de pédagogie et d'initiation artistique.","20 rue Velpeau 92160 Antony","RER B - Antony","http://www.ville-antony.fr/maison-des-arts","N/A","29mins"
"arceuil-anis-gras.jpg","arceuil-anis-gras-6.jpg","CENTRE ANIS GRAS / LE LIEU DE L'AUTRE","Arcueil","","","","","","",""
"arcueil-espjeanvilar.jpg","arcueil-espjeanvilar.jpg","ESPACE JEAN VILAR","Arcueil","Cinema","Festival Les Ecrans Documentaires.","L’Espace municipal Jean Vilar\n1, rue Paul Signac\n94110 ARCUEIL","RER B (zone 3) Arcueil-Cachan / Bus : n°187 (arrêt « Cachan RER ») et n°162 et 184 (arrêt « Cité Jardins »)","http://www.lesecransdocumentaires.org http://espace-jean-vilar.com/","2002","27mins"
"arcueil-galerie-municipale-julio-gonzalez-4.jpg","arcueil-galerie-municipale-julio-gonzalez-.jpg","GALERIE MUNICIPALE \nJULIO GONZALEZ","Arcueil","Arts Visuels","galerie Art contemporain","21, Avenue Paul Doumer, 94110, Arcueil","RER B - Laplace","01 46 15 09 75 www.arcueil.fr galerie-gonzalez@mairie-arcueil.fr","1992","30mins"
"","","MOVINMOTION (Platform)","Arcueil","Innovation","Movinmotion est une plateforme web dédiée aux professionnels de l'audiovisuel et du spectacle, qui simplifie le recrutement et la gestion administrative des équipes.","44 rue de Cauchy\n94 110 Arcueil","RER B - direction Massy-Palaiseau - Arrêt Laplace","06 15 13 23 96  louise@movinmotion.com/www.movinmotion.com","2011","29mins"
"","","1, 2, 3, contez ! Festival","Asnieres","Performance","Festival","6, Rue Louis Armand, 92600 Asnières","Métro 13 -  Arrêt Gabriel Péri","01 41 11 14 21","2009",""
